model,precision,recall,f1,accuracy,auc_pr,auc_roc,tp,fp,fn,tn,cost_inr
Rule-Based Baseline,0.1131606952820149,0.4461538461538462,0.18053197509903793,0.9843661994641176,0.1045876679542339,0.8340258394480594,957,7500,1188,546074,3939000
Isolation Forest (Unsupervised),0.19847592656737098,0.26713286713286716,0.22774244833068363,0.9930072572649127,0.10417153544084953,0.8900049757615324,573,2314,1572,551260,4831700
XGBoost Tuned (Thresh=0.58),0.8739336492890996,0.8596736596736597,0.8667450058754407,0.9989797001722094,0.928964374759747,0.9985854964269775,1844,266,301,553308,916300
XGBoost High-Recall (Thresh=0.35) [Recommended],0.7665075576770087,0.8983682983682983,0.8272161408027474,0.9985514261704207,0.928964374759747,0.9985854964269775,1927,587,218,552987,683350
XGBoost High-Precision (Thresh=0.75),0.9347593582887701,0.8149184149184149,0.8707347447073475,0.9990660747608053,0.928964374759747,0.9985854964269775,1748,122,397,553452,1197100
